xxxxxxxxxxxxxxxxxxxx	lebih_suka
ia	اي
dan	دان
pada	ڤد
beta	بيت
gelang	ݢلڠ
masih	ماسيه
apakah	اڤاکه
kepadaku	کڤداکو
kepadamu	کڤدامو
kepadanya	کڤداڽ
matanya	ماتاڽ
datuk	داتوق
namaku	ناماکو
kataku	کاتاکو
katamu	کاتامو
katanya	کاتاڽ
eh	إيه
e-mel	إي-ميل
dua-duanya	دوا-دواڽ
apapun	اڤاڤون
murid-muridnya	موريد-موريدڽ
xxxxxxxxxxxxxxxxxxxx	padanan_umum
pegasus	ڤيݢاسوس
roc	روق
pacci	ڤاچي
cengkerang	چڠکرڠ
kinstone	کينستون
rupee	روڤي
--mendenga	مندڠـ--
--bil	بيلا--
-ke	ک-
-makhluk	مخلوق-
-benda	بندا
h-hei	هـ-هي
a-apa	ا-اڤ
--apa	اڤ--
hei	هي
fiuh	فوه
mau	ماهو
lagenda	لاݢيندا
seterusnya	ستروسڽ
seharusnya	سهاروسڽ
leng	ليڠ
korang	کورڠ
je	ج
tu	تو
ok	اوکي
kecik	کچيک
gitu	ݢيتو
err	ارر
er	ار
kumohon	کوموهون
kusangka	کوسڠک
kurasa	کوراس
insya-allah	إن‌ ‌شاء ‌الله
insyallah	إنشاءالله
sekaligus	سکاليݢوس
dik	ديک
ahh	اح
hooo	هو
ish	إيش
woi	ووي
yauwhh	ياءوخ
mmmnyamamammmm	ݢروق-ݢروخ
mnnguapp	ڠواڤ
takleh	تقليه
grrr	خرر
menggeliang-geliut	مڠݢلياڠ-ݢليوت
dimana-manapun	دمانا-ماناڤون
manapun	ماناڤون
pico	ڤيکو
ripi	ريڤي
ripico	ريڤيکو
picoco	ڤيکوکو
ricopi	ريکوڤي
copi	کوڤي
copipi	کوڤيڤي
ropi	روڤي
piriko	ڤيريکو
poco	ڤوکو
ricopi	ريکوڤي
riki	ريکي
poko	ڤوقو
ti	تي
po	ڤو
hm	هم
hmm	هم
hmmm	هم
hmmmm	هم
celutih	جلوطيح
viral	ۏيرل
ala	الا
ahli-pedang	اهلي-ڤدڠ
xxxxxxxxxxxxxxxxxxxx	nama_orang
minish	مينيش
picori	ڤيکوري
zelda	زيلدا
vaati	ۏعاتي
ezlo	ايزلو
teshin	تيشين
lebrari	لبراري
tingle	تيڠݢل
melari	ميلاري
carlov	کرلوۏ
farore	فروري
smith	سميث
tengaro	تيڠݢارو
deku	ديکو
mutoh	موتوه
fesuta	فيسوتا
fisuta	ڤيصوتا
meruta	ميروتا
xxxxxxxxxxxxxxxxxxxx	nama_tempat
hyrule	هايرول
hylia	هايليا
gongol	ݢوڠݢول
tabanta	تابنتا
serra	سيرا
trilby	تريلبي
ternakan	ترنقن
lon	لون
deepwood	ديڤوود
